DATE,HOUSE #,STREET,OVER FLOW,NOT OUT,NOT AT CURB,DETAILS,,
1/17/18,3929,ABERCORN RD,x ,,,,,
1/17/18,4017,ACORN DR,,x,,,,
1/17/18,4108,GARDEN DR,,x ,,,,
1/17/18,4141,DEER CREEK DR,,x ,,,,
1/17/18,4211,ACUFF ST,,x,,,,
1/17/18,4284,LARIGO DR,,x,,,,
1/17/18,4312,LANDON DR,,x,,,,
1/17/18,4353,SCARLETT LN,,x ,,,,
1/17/18,4413,LONAS DR,,x,,,,
1/17/18,4505,CARDINAL DR,,x,,,,
1/17/18,4601,ELM VIEW DR,x,,,bags ,,
1/17/18,4624,CHAMBLISS AVE,x,,,dress and mattress ,,
1/17/18,4718,SCEPTER WAY,,x,,,,
1/17/18,4811,RIVER PLACE DR,,x,,road closed due to construction,,
1/17/18,4908,BRADSHAW RD,x,,,loose carpet scrapes ,,
1/17/18,5001,WEST SUNSET RD,,x,,,,
1/17/18,5029,LAUREL WOODS DR,,x,,,,
1/17/18,5120,SPRING PETAL WAY ,,x ,,,,
1/17/18,5212,SINCLAIR DR,x,,,ex boxes filled with trash ,,
1/17/18,5305,CLAIRIDGE RD,,x,,,,
1/17/18,5336,AMHERST WOODS LN,,x,,,,
1/17/18,5412,MONTCREST RD,,x,,,,
1/17/18,5501,BEVERLY SQUARE WAY,,x,,,,
1/17/18,5517,PAULA RD,x,,,Pallets at curb,,
1/17/18,5609,WASSMAN RD,,x,,,,
1/17/18,5668,EAGLE CREST LN,,x,,,,
1/17/18,5713,JAMAICA LN,,x,,,,
1/17/18,5805,BRIERVIEW LN,,X,,,,
1/17/18,5840,SOLAR DR,,x,,,,
1/17/18,5916,WASSMAN RD,,x,,,,
1/17/18,5992,BEARDEN VIEW LN,,x,,,,
1/17/18,6024,MOORE RD,,x,,,,
1/17/18,6118,NORTHCREST CIR,,x,,,,
1/17/18,6308,WESTLAND DR,x,,,move out ,,
1/17/18,6516,SHREWSBURY DR,,x,,,,
1/17/18,6708,GLENBROOK DR,x,,,,,
1/17/18,6848,AVENSONG LN,,x,,,,
1/17/18,7016,GAINSBOROUGH DR,,x,,,,
1/17/18,7116,ROCKINGHAM DR,,x,,,,
1/17/18,7231,LONG SHOT LN,,x,,,,
1/17/18,7347,BELLINGHAM DR,,x,,,,
1/17/18,7529,LUSCOMBE DR,,x,,,,
1/17/18,7721,WILMINGTON DR,,x,,,,
1/17/18,7914,GLEASON DR,,X,,,,
1/17/18,8034,ELLISVILLE LN,,x,,,,
1/17/18,8306,CHADWICK DR,,x,,,,
1/17/18,2643 -B,NICKLE RD,,,,mattress,,
1/18/18,101,HERRON DR,,x,,,,
1/18/18,113,DRINNEN AVE,,x,,,,
1/18/18,126,HILLCREST DR,,x,,,,
1/18/18,201,HERMITAGE DR,x,,,,,
1/18/18,208,OGLEWOOD AVE,x,,,,,
1/18/18,216,BONA RD,,x,,,,
1/18/18,227,CENTURY CT,,x,,,,
1/18/18,301,HAMILTON RD,,x,,,,
1/18/18,309,W END LN,,x,,,,
1/18/18,318,HAMILTON RD,,x,,,,
1/18/18,373,NASH RD,,x,,,,
1/18/18,409,HIGHLAND HILLS RD,,x,,,,
1/18/18,421,E SCOTT AVE,,x,,,,
1/18/18,456,BLACK OAK DR,,x,,whole block under construction,,
1/18/18,507,CHEROKEE BLVD,,x,,,,
1/18/18,521,GREYSTOKE LN,,x,,,,
1/18/18,601,LAMPWICK LN,,x,,,,
1/18/18,615,HIGH POINT WAY,,X,,EXTRA AT THE HOUSE,,
1/18/18,701,W HILLS RD,,x,,,,
1/18/18,712,GREENSBORO WAY,,x,,,,
1/18/18,725,BROOKRIDGE CIR,,x,,,,
1/18/18,801,LAKE GLEN LN,,X,,,,
1/18/18,812,NORAGATE RD,,x,,,,
1/18/18,845,BLUE SPRUCE WAY,,x,,,,
1/18/18,911,IRWIN ST,,x,,,,
1/18/18,929,IRWIN ST,x,,,,,
1/18/18,1004,CLAUDE RD,,x,,,,
1/18/18,1018,E RED BUD RD ,x,,,behind mailbox,,
1/18/18,1043,OVERTON PL,,x,,move out 2 extra toters,,
1/18/18,1109,FAIRFAX AVE,,x,,,,
1/18/18,1121,FREEMASON ST,x,,,,,
1/18/18,1200,OGLEWOOD AVE,,x,,no toter,,
1/18/18,1214,LUTTRELL ST,,x,,,,
1/18/18,1253,HARBIN RIDGE LN,x,,,,,
1/18/18,1310,W CLINCH AVE,,x,,,,
1/18/18,1327,BROWN AVE,,x,,,,
1/18/18,1409,BLUEBIRD DR,,x,,,,
1/18/18,1428,FRANCIS STATION DR,,,,tv ,,
1/18/18,1512,BONITA DR,x ,,,,,
1/18/18,1539,FAIR DR,,,,2 city toters ,,
1/18/18,1614,GLENN AVE,,x,,,,
1/18/18,1638,MAPLE VIEW WAY,,,,6 to 8 bags of carpet ,,
1/18/18,1708,MCTEER ST,x ,,,,,
1/18/18,1721,BEAUMONT AVE,,x,,,,
1/18/18,1802,CALHOUN ST,,x,,,,
1/18/18,1835,KIM WATT DR,,x,,,,
1/18/18,1910,MISSISSIPPI AVE,,x ,,,,
1/18/18,1930,LAWSON AVE,,x ,,,,
1/18/18,2005,SILVERBROOK DR,x,,,2 sofas ,,
1/18/18,2020,FAIRMONT BLVD,,x ,,,,
1/18/18,2101,JONES ST,,x,,,,
1/18/18,2115,AMHERST RD,,x,,,,
1/18/18,2156,WILLOW CREEK LN,,x,,,,
1/18/18,2214,FENWOOD DR,x,x,,city toter not out ,,
1/18/18,2239,W GILBERT LN,,x ,,,,
1/18/18,2307,ISLAND HOME BLVD,x ,,,2 couches ,,
1/18/18,2321,MORTON LN,,x,,,,
1/18/18,2401,WOODBINE AVE,x ,,,,,
1/18/18,2421,HIGHLAND DR ,,x,,,,
1/18/18,2464,MAPLE CREST LN,,x,,,,
1/18/18,2517,HAMMOND LN,,x,,,,
1/18/18,2600,BUFFAT MILL RD,,x ,,,,
1/18/18,2629,BELVEDERE AVE,x ,,,,,
1/18/18,2716,AMELIA RD,x ,,,trash on ground ,,
1/18/18,2808,GLENPARK RD,,x,,,,
1/18/18,2838,WHITE OAK LN,,x ,,,,
1/18/18,2913,SANDERS DR,,x ,,,,
1/18/18,2943,CARSON AVE,x ,,,,,
1/18/18,3024,KINGSTON PIKE,,x ,,,,
1/18/18,3106,BROOKS AVE,,x ,,,,
1/18/18,3119,MARION DR,,x,,,,
1/18/18,3204,MISTY HILL WAY,,,x ,,,
1/18/18,3225,GARDEN DR,x ,,,bags ,,
1/18/18,3311,FAIRWAY RD,,x ,,,,
1/18/18,3353,KENILWORTH LN,,x,,,,
1/18/18,3421,PEACHWOOD RD,,x,,,,
1/18/18,3511,MARTIN LUTHER KING JR AVE ,,x,,,,
1/18/18,3611,SEVIER HEIGHTS RD,,,,personal cans,,
1/18/18,3711,SPEEDWAY CIR,,x ,,,,
1/18/18,3809,DANCE AVE,,x,,,,
1/18/18,3864,DELLWOOD DR,,x,,,,
1/18/18,3929,ACORN DR,,x,,,,
1/18/18,4017,FOREST GLEN DR,,x,,,,
1/18/18,4108,MACEDONIA LN,,x,,,,
1/18/18,4141,FOREST GLEN DR,x,,,metal pole with big pieces of concrete on them ,,
1/18/18,4211,ANNONA DR,,x,,,,
1/18/18,4284,LARIGO DR,x,,,,,
1/18/18,4312,LARIGO DR,x,,,ex personal can ,,
1/18/18,4353,W SCARLETT LN,,x,,,,
1/18/18,4413,ROYALVIEW RD,,x,,,,
1/18/18,4505,FULTON DR,,x,,,,
1/18/18,4601,FULTON DR,,x,,,,
1/18/18,4624,HARSCH ST,,x,,,,
1/18/18,4718,SPRINGBROOK RD ,,x,,,,
1/18/18,4811,ROWAN RD,,x,,,,
1/18/18,4908,CABIN RD,,x,,,,
1/18/18,5001,WESTOVER TER,,x,,,,
1/18/18,5030,LAUREL WOODS DR,,x,,,,
1/18/18,5120,SPRING VALLEY DR,,x ,,,,
1/18/18,5212,VANARDO WAY,,x,,,,
1/18/18,5305,DAPHNE DR,,x,,,,
1/18/18,5336,AVERY WOODS LN,,x,,,,
1/18/18,5412,OAK HARBOR LN,,x,,,,
1/18/18,5501,BRIERCLIFF RD,,x,,,,
1/18/18,5517,STONELEIGH RD,,x,,,,
1/18/18,5609,ALOHA AVE,,x,,,,
1/18/18,5668,SUMMITRIDGE LN,,x,,,,
1/18/18,5713,OAK RD,,x,,,,
1/18/18,5805,CHAPMAN HWY,,X,,,,
1/18/18,5840,FAIRHILL LN,,x,,,,
1/18/18,5916,WESTMERE DR,,x,,,,
1/18/18,6000,AUTUMN OAKS LN,,x,,,,
1/18/18,6024,NOTTINGHAM RD,,x,,,,
1/18/18,6118,WEEMS RD,,x,,,,
1/18/18,6308,CADBURY DR,,x,,,,
1/18/18,6516,TROUSDALE RD,,x,,,,
1/18/18,6708,GLENBROOK DR,,x,,,,
1/18/18,6848,AVENSONG LN,,x,,,,
1/18/18,7016,HAMPSHIRE DR,,x,,,,
1/18/18,7116,STOCKTON DR,,x,,,,
1/18/18,7231,WELLSWOOD LN,,x,,,,
1/18/18,7347,KENNON PARK LN,,x,,,,
1/18/18,7529,CHATHAM CIR,,x,,,,
1/18/18,7721,LUXMORE DR,,xx,,,,
1/18/18,7914,GLEASON DR,,X,,,,
1/18/18,8034,PEPPERDINE WAY,,x,,,,
1/18/18,8306,CORTELAND DR,,x,,,,
1/18/18,2643 -B,NICKLE RD,,x,,,,
1/19/18,101,MAYFLOWER DR,,x,,,,
1/19/18,113,GILL AVE,,x,,,,
1/19/18,126,LYNNVIEW DR,,x,,,,
1/19/18,201,HILLCREST DR,x,,,,,
1/19/18,208,PELHAM RD,,,,,,
1/19/18,216,BROWN MOUNTAIN LOOP RD,,x,,,,
1/19/18,227,DOUGLAS AVE,,x,,,,
1/19/18,301,HARTFORD RD,,x,,,,
1/19/18,309,W HILLS RD,,x,,,,
1/19/18,318,HARTFORD RD,,x,,,,
1/19/18,376,HIAWASSEE AVE,,x,,,,
1/19/18,409,KITUWAH TRL,,x,,,,
1/19/18,421,E WOODLAND AVE,,x,,,,
1/19/18,456,BOXWOOD SQ,,x,,,,
1/19/18,507,FOREST HILLS BLVD,x,,,,,
1/19/18,521,KENDALL RD,,x,,,,
1/19/18,601,LINDY DR,,x,,,,
1/19/18,615,HILLVIEW RD,X,,,NOT AT THE CURB,,
1/19/18,701,WACO RD,,x,,,,
1/19/18,712,HAYNES PL,,x,,,,
1/19/18,725,CESSNA RD,,x,,,,
1/19/18,801,MARLBORO RD,,X,,,,
1/19/18,813,BARCLAY DR,,x,,,,
1/19/18,846,BLUFF DR,,x,,,,
1/19/18,911,KENESAW AVE,,x,,,,
1/19/18,929,KENESAW AVE,,x,,,,
1/19/18,1004,CRAIG RD,x,,,,,
1/19/18,1018,ELEANOR ST,x,,,,,
1/19/18,1044,ASHWOOD PL,x,,,,,
1/19/18,1109,GLENOAKS DR,,x,,,,
1/19/18,1121,GLADE HILL DR,x,,,,,
1/19/18,1200,PARK GLEN RD,x,,,,,
1/19/18,1214,MICHAELS LN,,x,,,,
1/19/18,1254,GRENOBLE DR,,x,,,,
1/19/18,1310,BARCLAY HEIGHTS LN,,x,,,,
1/19/18,1327,FAIR DR,x,,,,,
1/19/18,1409,CHICAGO AVE,,x,,,,
1/19/18,1428,FREMONT PL,,x,,,,
1/19/18,1512,BOYD ST,x ,,,,,
1/19/18,1540,AGAWELA AVE,x ,,,,,
1/19/18,1614,GROSS AVE,,x,,,,
1/19/18,1639,BANYAN LN ,,x,,,,
1/19/18,1708,NANDINA DR,x ,,,,,
1/19/18,1721,BONITA DR,,x,,,,
1/19/18,1802,CHEROKEE BLUFF DR,,x,,,,
1/19/18,1835,BUFORD ST,,x,,,,
1/19/18,1911,BOYD ST,,x,,,,
1/19/18,1930,NICKERSON AVE,,x ,,,,
1/19/18,2005,SUNNY LN,,,x ,,,
1/19/18,2020,HOCOTAKE LN,,x ,,,,
1/19/18,2101,JUNIPER DR,,x,,,,
1/19/18,2115,ASTER RD,x ,,,,,
1/19/18,2157,BEREA AVE,,x,,,,
1/19/18,2214,FISHER PL,x ,,,,,
1/19/18,2240,DEERWOOD RD,,x ,,,,
1/19/18,2307,LAUREL AVE,,x ,,,,
1/19/18,2322,AULT RD,,,,2 city toter dumped one ,,
1/19/18,2401,CAPRI DR,x,,,trash on ground ,,
1/19/18,2421,KANTEBURY DR,,x ,,,,
1/19/18,2464,BRIERBROOK LN,,x ,,,,
1/19/18,2517,JEFFERSON AVE,,x,,,,
1/19/18,2600,CRESTPARK RD,,,x,blocked by for ranger ,,
1/19/18,2629,DELROSE DR,x,,,mattresses and boxsprings ,,
1/19/18,2716,BELCOURT DR,x ,,,,,
1/19/18,2808,JOHN ROSS CT,,x ,,,,
1/19/18,2838,GASTON AVE,,x ,,,,
1/19/18,2913,SUNSET AVE,,x ,,,,
1/19/18,2943,CECIL AVE,,x ,,,,
1/19/18,3025,DOW DR,x ,,,ex city can ,,
1/19/18,3106,CLEARVIEW ST,,x ,,,,
1/19/18,3119 ,ORCHARD AVE ,,x,,,,
1/19/18,3204,ONEAL ST,x,,,ex const material ,,
1/19/18,3225,KENILWORTH DR,,x,,,,
1/19/18,3311,FOUNTAIN PARK BLVD,x,,,shutters ,,
1/19/18,3355,LANSING AVE,,x,,,,
1/19/18,3421,SELMA AVE,,x,,,,
1/19/18,3511,MCKAMEY RD,,x,,,,
1/19/18,3611,SKYLINE DR,,x,,,,
1/19/18,3711,WESTER WOOD AVE,,x ,,,,
1/19/18,3809,ESSARY DR ,,x,,,,
1/19/18,3864,DELLWOOD DR,,x,,,,
1/19/18,3929,CLUSTER AVE,,x,,,,
1/19/18,4017,HEATHER CT,,x,,,,
1/19/18,4108,MASCARENE RD,,x,,,,
1/19/18,4141,JOMANDOWA DR,,x,,,,
1/19/18,4211,BARBARA DR,,x,,,,
1/19/18,4286,VALENCIA RD,,x,,,,
1/19/18,4312,MANNINGTON DR,,x ,,,,
1/19/18,4353,WALNUT RIDGE LN,,x,,,,
1/19/18,4413,SEVIERVILLE PIKE,,x,,,,
1/19/18,4505,GREENDALE RD,,x,,,,
1/19/18,4601,HOLSTON HILLS RD,,x ,,,,
1/19/18,4624,ISLAND HOME AVE,,x,,,,
1/19/18,4718,ELMVIEW DR,,x,,,,
1/19/18,4811,WILKSHIRE DR,,x,,,,
1/19/18,4908,E INSKIP DR,x,,,refrigerator at curb not tagged ,,
1/19/18,5001,WILKSHIRE DR,,x,,,,
1/19/18,5030,SULLIVAN RD,,x,,,,
1/19/18,5121,FOXWOOD RD,,x ,,,,
1/19/18,5212,VILLA RD,,x,,,,
1/19/18,5305,GAINESWOOD RD,,x,,,,
1/19/18,5336,JACKSBORO PIKE,,,x,,,
1/19/18,5413,CRESTWOOD DR,,x,,,,
1/19/18,5501,CRESTWOOD DR,,x,,,,
1/19/18,5517,SUMMITRIDGE LN,,x,,,,
1/19/18,5609,BURBURY LN,,x,,,,
1/19/18,5668,EAGLE CREST LN,,x,,,,
1/19/18,5713,RIDGEFIELD RD,,x,,,,
1/19/18,5805,DODGE RD,,X,,,,
1/19/18,5842,LUCERNE LN,,x,,,,
1/19/18,5916,WINDTRACE LN,,x,,,,
1/19/18,6000,HOLSTON DR,,x,,,,
1/19/18,6025,BRIDGE GARDEN RD,,x,,,,
1/19/18,6118,BILL MURRAY LN,,x,,,,
1/19/18,6308,DAISY POINTE LN,,x,,,,
1/19/18,6516,NORTHSHORE DR,,x,,,,
1/19/18,6708,MALLARD LN,,x,,,,
1/19/18,6851,AVENSONG LN,x,,,,,
1/19/18,7016,KINZALOW DR,,x,,,,
1/19/18,7116,STONE MILL DR,,x,,,,
1/19/18,7231,ALLISON WAY,,x,,,,
1/19/18,7347,MANDERLY WAY,,x,,,,
1/19/18,7529,LUSCOMBE DR,,x,,,,
1/19/18,7722,ELLISVILLE LN,,x,,,,
1/19/18,7914,GLEASON DR,,X,,,,
1/19/18,8034,ELLISVILLE LN,,x,,,,
1/19/18,8309,ALEXANDER CAVET DR,,x,,,,
1/19/18,265 #205,BROOKVIEW CENTRE WAY,,,,can blocked by cars,,
1/20/18,101,W FIFTH - UNIT -A,,x,,,,
1/20/18,113,HERRON DR,,x,,,,
1/20/18,126,NOKOMIS RD,,x,,,,
1/20/18,201,LOCKETT RD,x,,,,,
1/20/18,208,PITNER PL,x,,,,,
1/20/18,216,BURNS RD,,x,,,,
1/20/18,227,E BURWELL AVE,,x,,,,
1/20/18,301,HAWTHORNE AVE,,x,,,,
1/20/18,309,AVENUE C,,x,,,,
1/20/18,318,LAYDEN DR,,x,,,,
1/20/18,376,HIAWASSEE AVE,,x,,,,
1/20/18,409,LOVENIA AVE,,x,,,,
1/20/18,421,HIGGINS AVE,,x,,,,
1/20/18,456,CHICKAMAUGA AVE,,x,,,,
1/20/18,507,HEMING WAY,x,,,,,
1/20/18,521,MONETA RD,,x,,,,
1/20/18,601,LOOKOUT CT,,x,,,,
1/20/18,615,LOOKOUT CT,,X,,"NOT AT THE CURB, A OR B",,
1/20/18,701,WESTBOROUGH RD,,x,,,,
1/20/18,712,KEMPTON RD,,x,,,,
1/20/18,725,DEERY ST,,x,,,,
1/20/18,801,MAYNARD AVE,,X,,,,
1/20/18,813,BENNETT PL,,x,,,,
1/20/18,846,FREEMASON ST,,x,,,,
1/20/18,911,KINGSFORD WAY,,x,,,,
1/20/18,929,KEOWEE AVE,,x,,,,
1/20/18,1004,CRAIGLAND CT,x,,,,,
1/20/18,1018,HALL ST,x,,,,,
1/20/18,1044,CRAIGLAND CT,,,,,,
1/20/18,1109,GRONER DR,,x,,,,
1/20/18,1121,GREGORY OAKS LN,x,,,,,
1/20/18,1200,PILLEAUX DR,,x,,,,
1/20/18,1214,PARK GLEN RD,,x,,,,
1/20/18,1254,GRENOBLE DR,,x,,,,
1/20/18,1310,BEAUMONT AVE,,x,,,,
1/20/18,1327,FRANCIS STATION DR,,x,,,,
1/20/18,1409,COESTA CIR,,x,,,,
1/20/18,1428,GLENOAKS DR,,x,,,,
1/20/18,1512,BRANSON AVE,x ,,,,,
1/20/18,1540,BRANSON AVE,x ,,,,,
1/20/18,1614,HOPE WAY,,x,,,,
1/20/18,1639,CHENOWETH CIR,,x,,,,
1/20/18,1709,BEAUMONT AVE,,x,,,,
1/20/18,1721,COKER AVE,,x,,,,
1/20/18,1802,MAC-ALICE DR,,x,,,,
1/20/18,1835,ELMHURST WAY,x ,,,,,
1/20/18,1911,BROWN AVE,,x,,,,
1/20/18,1931,BERNHURST DR,x,,,got 5 bulk,,
1/20/18,2005,TREEMONT DR,,x ,,,,
1/20/18,2020,HOLLYHOCK LN,,x ,,,,
1/20/18,2101,LINDEN AVE,x,,,,,
1/20/18,2115,CHICAGO AVE,x ,,,,,
1/20/18,2157,HILLSBORO HTS,X ,,,trash on ground,,
1/20/18,2214,HARVEY ST,x ,,,const wood ,,
1/20/18,2240,FISHER PL,,x ,,,,
1/20/18,2307,LAWSON AVE,,x ,,,,
1/20/18,2322,BRADFORD ST,x ,,,,,
1/20/18,2401,CHILLICOTHE ST,x,,,trash on ground ,,
1/20/18,2421,KENNINGTON RD,,x ,,,,
1/20/18,2464,MAPLE CREST LN,,x ,,,,
1/20/18,2517,LINDEN AVE,,x,,,,
1/20/18,2600,FAIRMONT BLVD,,x ,,,,
1/20/18,2629,EDGEWOOD AVE,,x ,,,,
1/20/18,2716,BROOKWOOD RD,,,,alley needs trimed ,,
1/20/18,2808,TARLETON AVE,,,x ,next to fence every week ,,
1/20/18,2838,NICHOLS AVE,,x ,,,,
1/20/18,2913,WOODROW DR,x ,,x,"table,dresser not at curb trash on ground",,
1/20/18,2943,CECIL AVE,x ,,,scattered trash on ground and bags ,,
1/20/18,3025,E FIFTH AVE,,x ,,,,
1/20/18,3106,CROSS VALLEY RD,x ,,,boxes can backwards,,
1/20/18,3120,BAKERTOWN STATION WAY,,x,,,,
1/20/18,3204,SANDERSON RD,,x ,,,,
1/20/18,3226,ASHLAND AVE,,x,,,,
1/20/18,3311,GILLENWATER DR,x,,,2 cok cans,,
1/20/18,3355,LANSING AVE,x ,,,,,
1/20/18,3421,SPRUCEWOOD RD,,x,,,,
1/20/18,3511,MOUNT DR,,x,,,,
1/20/18,3611,SOUTHWOOD DR,,x,,,,
1/20/18,3711,ESSARY DR,,x,,,,
1/20/18,3809,FAIRMONT BLVD ,,x,,,,
1/20/18,3866,TALILUNA AVE,,x,,,,
1/20/18,3929,GREENLEAF AVE,,x,,,,
1/20/18,4018,HIAWATHA DR,,x,,,,
1/20/18,4108,OAKLAND DR,,x,,,,
1/20/18,4142,HOLSTON DR,x,,,a lot of broken down boxes ,,
1/20/18,4211,CROSBY DR,,x,,,,
1/20/18,4287,LARIGO DR,,x,,,,
1/20/18,4312,MILL POND DR,,x,,,,
1/20/18,4356,MANNINGTON DR,,x,,,,
1/20/18,4413,SILVERHILL DR,,x,,,,
1/20/18,4505,HOLSTON HILLS RD,,x,,,,
1/20/18,4601,LANDON DR,x,,,construction material ,,
1/20/18,4625,BAVERTON DR,,x,,,,
1/20/18,4718,MAPLEHILL RD,,x,,,,
1/20/18,4811,EDFORD AVE,x,,,couches and mattreses ,,
1/20/18,4908,FLEETWOOD DR ,x,,,,,
1/20/18,5001,CLOVERDALE LN,,x,,,,
1/20/18,5030,WILLOWAY DR,,x,,,,
1/20/18,5121,GREEN VALLEY DR,,x ,,,,
1/20/18,5212,WINFIELD LN,,x,,,,
1/20/18,5305,GREENCREST RD,,x,,,,
1/20/18,5337,GAINESWOOD RD,x,,,pak and play ,,
1/20/18,5413,CROOKED PINE LN,,x,,,,
1/20/18,5501,E SUNSET RD,,x,,paint in the can,,
1/20/18,5517,TIMBERCREST TRL,,x,,,,
1/20/18,5609,CEDAR HEIGHTS RD,,x,,,,
1/20/18,5669,EAGLE CREST LN,,,,2 city carts,,
1/20/18,5713,S BRISCOE CIR,,x,,,,
1/20/18,5805,GREEN VALLEY DR ,,X,,,,
1/20/18,5842,LUCERNE LN,,x,,,,
1/20/18,5916,ANTIGUA LN,,x,,,,
1/20/18,6000,KAYWOOD RD,,x,,,,
1/20/18,6025,MEDLIN HEIGHTS RD,,x,,,,
1/20/18,6118,CREEKHEAD DR,,x,,,,
1/20/18,6308,FOOTE MINERAL LN,x,,,couch and matress ,,
1/20/18,6517,RIDGEROCK LN,,x,,,,
1/20/18,6708,PHEASANT LN,x,,,,,
1/20/18,6851,AVENSONG LN,,x,,,,
1/20/18,7016,MIDDLEBROOK PIKE,x,,,,,
1/20/18,7116,CHAPMAN HWY,,x,,,,
1/20/18,7231,LONG SHOT LN,,x,,,,
1/20/18,7347,MISTY MEADOW PL,,x,,,,
1/20/18,7531,CHATHAM CIR,,x,,,,
1/20/18,7722,WILMINGTON DR,,x,,,,
1/20/18,7914,GLEASON DR,,X,,,,
1/20/18,8037,ELLISVILLE LN,,x,,,,
1/20/18,8309,BENNINGTON DR,,x,,,,
1/20/18,265 #205,BROOKVIEW CENTRE WAY,,x,,,,
1/21/18,101,W LAKE FOREST DR,,x,,,,
1/21/18,113,INDIAN RD,,x,,,,
1/21/18,126,ROYAL HEIGHTS DR,,x,,,,
1/21/18,201,LYNNVIEW DR,x,,,,,
1/21/18,208,RED BUD RD,,x,,,,
1/21/18,216,CARTA RD,,x,,,,
1/21/18,227,E CHURCHWELL AVE,,x,,,,
1/21/18,301,INSKIP DR ,,x,,,,
1/21/18,309,BEECHWOOD DR,,x,,,,
1/21/18,318,LYNNWOOD DR,,x,,,,
1/21/18,381,HIAWASSEE AVE,,x,,,,
1/21/18,409,LYONS HEAD DR,,x,,,,
1/21/18,421,HIGHLAND HILLS RD,,x,,,,
1/21/18,458,CHEROKEE BLVD,,x,,,,
1/21/18,507,HOLLYWOOD RD,,x,,,,
1/21/18,521,NOBSCOT RD,,x,,,,
1/21/18,601,N CHILHOWEE DR,,x,,,,
1/21/18,615,OAKHURST DR,,X,,,,
1/21/18,701,WHITE OAK DR,,X,,,,
1/21/18,712,LIBERTY ST,,x,,,,
1/21/18,725,DELAPP DR,,x,,,,
1/21/18,801,MEDIATE WAY,,X,,,,
1/21/18,813,CRESWELL CT,,x,,,,
1/21/18,846,BLUFF DR,,x,,,,
1/21/18,911,LUTTRELL ST,,x,,,,
1/21/18,929,LEDGERWOOD AVE,,x,,,,
1/21/18,1004,DRY GAP PIKE,x,,,,,
1/21/18,1018,HAYSLOPE DR,,x,,,,
1/21/18,1044,W PARK DR,,x,,,,
1/21/18,1109,HENRIETTA DR,x,,,,,
1/21/18,1121,HEATHERFIELD LN,x,,,,,
1/21/18,1200,RYAN PL,,x,,,,
1/21/18,1214,PRATT ST,,x,,,,
1/21/18,1255,GRENOBLE DR,,x,,,,
1/21/18,1310,CHERRY TREE LN,,,,paint at curb ,,
1/21/18,1327,GRENOBLE DR,x,,,,,
1/21/18,1409,DUTCH VALLEY DR,,x,,,,
1/21/18,1428,MARCONI DR,,x,,,,
1/21/18,1512,CECIL AVE,x ,,,,,
1/21/18,1540,CLAIBORNE PL,,x ,,,,
1/21/18,1614,JEFFERSON AVE,,x,,,,
1/21/18,1639,BANYAN LN ,,x,,,,
1/21/18,1709,BRANSON AVE,,x,,,,
1/21/18,1721,DONINGHAM DR,,x,,,,
1/21/18,1803,E GLENWOOD AVE,,x,,,,
1/21/18,1835,KIM WATT DR,,x ,,,,
1/21/18,1911,CECIL AVE,,x,,,,
1/21/18,1931,CHICAGO AVE,,,x ,can 7 ft from curb ,,
1/21/18,2005,AILOR AVE,x ,,,,,
1/21/18,2020,LAWSON AVE,,x ,,,,
1/21/18,2101,MAPLE DR,,x,,,,
1/21/18,2115,COKER AVE,,x ,,,,
1/21/18,2157,WILLOW CREEK LN,X ,,,trash on ground,,
1/21/18,2214,HIGHLAND DR,,,,,,
1/21/18,2240,HILLSBORO HTS,,x,,,,
1/21/18,2308,BELCARO DR,x ,,,,,
1/21/18,2322,CECIL AVE,,,,too far from road,,
1/21/18,2401,CHIMNEY RIDGE RD,,x,,,,
1/21/18,2421,MAPLE CREST LN,x,,,boxes ,,
1/21/18,2465,MAPLE CREST LN,,x ,,,,
1/21/18,2518,BROOKS AVE ,,x,,,,
1/21/18,2600,FENWOOD DR,,x ,,,,
1/21/18,2629,FAIRMONT BLVD,,x ,,,,
1/21/18,2716,BUFFAT MILL RD,,,,alley needs trimed ,,
1/21/18,2808,WILSON AVE,,,,move out ,,
1/21/18,2839,GASTON AVE,x ,,,,,
1/21/18,2913,ALICE BELL RD,,x ,,,,
1/21/18,2943,CARSON AVE,,x ,,,,
1/21/18,3025,GIBBS DR,x ,,,trash on ground ex personal cans  ,,
1/21/18,3106,DAVENPORT RD,,x,,put out behind me ,,
1/21/18,3120,KENILWORTH LN,,x,,,,
1/21/18,3204,SHIELDS AVE,,x ,,,,
1/21/18,3226,CURTIS LN,x ,,,sofa,,
1/21/18,3311,JOHNSTON ST,x ,,,,,
1/21/18,3357,SUTHERLAND AVE,,x,,,,
1/21/18,3421,ASHLAND AVE,,x,,,,
1/21/18,3511,PULLMAN WAY,,x,,,,
1/21/18,3611,TALILUNA AVE,,x,,,,
1/21/18,3711,FROSTWOOD RD,,x,,,,
1/21/18,3809,IVY AVE,,x,,,,
1/21/18,3870,SPEEDWAY CIR,x,,,,,
1/21/18,3929,KENILWORTH DR ,,x,,,,
1/21/18,4018,SEQUOYAH AVE,,x,,,,
1/21/18,4108,PLEASANTWOOD DR,,x,,,,
1/21/18,4142,RIDGEWAY LN,,,,couch table ,,
1/21/18,4211,HIAWATHA DR,,x,,,,
1/21/18,4287,LARIGO DR,,x,,,,
1/21/18,4312,ROAMING DR,x ,,,,,
1/21/18,4356,NETTLETON DR,,x,,,,
1/21/18,4413,SULLIVAN RD,x,,,ex city toter ,,
